toco,fhr,baseline,acc,dec
80.5,172.0,164.77310086567454,0,0
80.5,172.0,164.76041970625425,0,0
80.5,173.5,164.74773854683394,0,0
72.5,173.5,164.73505738741366,0,0
72.5,173.5,164.72237622799338,0,0
72.5,173.5,164.7096950685731,0,0
66.0,173.5,164.6970139091528,0,0
66.0,173.5,164.6843327497325,0,0
66.0,173.75,164.67165159031222,0,0
63.0,173.75,164.6589704308919,0,0
63.0,173.75,164.64628927147163,0,0
63.0,174.5,164.63360811205135,0,0
69.5,174.5,164.62092695263107,0,0
69.5,174.5,164.60824579321076,0,0
69.5,174.5,164.59556463379047,0,0
81.5,174.5,164.5828834743702,0,0
81.5,174.5,164.57020231494988,0,0
81.5,174.5,164.5575211555296,0,0
87.5,174.5,164.54483999610932,0,0
87.5,174.5,164.53215883668904,0,0
87.5,175.5,164.51947767726872,0,0
92.5,175.5,164.50679651784844,0,0
92.5,175.5,164.49411535842816,0,0
92.5,175.5,164.48143419900788,0,0
97.0,175.5,164.46875303958757,0,0
97.0,175.5,164.4560718801673,0,0
97.0,173.5,164.443390720747,0,0
100.0,173.5,164.4307095613267,0,0
100.0,173.5,164.4180284019064,0,0
100.0,172.5,164.40534724248613,0,0
100.0,172.5,164.39266608306585,0,0
100.0,172.5,164.37998492364554,0,0
100.0,173.75,164.36730376422526,0,0
100.0,173.75,164.35462260480497,0,0
100.0,173.75,164.34194144538466,0,0
100.0,174.5,164.32926028596438,0,0
100.0,174.5,164.3165791265441,0,0
100.0,174.5,164.30389796712382,0,0
100.0,175.5,164.2912168077035,0,0
100.0,175.5,164.27853564828322,0,0
100.0,175.5,164.26585448886294,0,0
100.0,175.5,164.25317332944266,0,0
100.0,175.5,164.24049217002235,0,0
100.0,175.5,164.22781101060207,0,0
100.0,175.5,164.21512985118179,0,0
100.0,175.5,164.20244869176148,0,0
100.0,175.5,164.1897675323412,0,0
100.0,175.5,164.1770863729209,0,0
100.0,175.5,164.16440521350063,0,0
100.0,175.5,164.15172405408032,0,0
100.0,174.5,164.13904289466004,0,0
100.0,174.5,164.12636173523975,0,0
100.0,174.5,164.11368057581944,0,0
100.0,175.0,164.10099941639916,0,0
100.0,175.0,164.08831825697888,0,0
100.0,175.0,164.0756370975586,0,0
100.0,173.75,164.0629559381383,0,0
100.0,173.75,164.050274778718,0,0
100.0,173.75,164.03759361929772,0,0
100.0,172.5,164.02491245987744,0,0
100.0,172.5,164.01223130045713,0,0
100.0,172.5,163.99955014103685,0,0
100.0,170.25,163.98686898161657,0,0
100.5,170.25,163.97418782219626,0,0
100.5,170.25,163.96150666277597,0,0
100.5,165.25,163.9488255033557,0,0
93.5,165.25,163.9361443439354,0,0
93.5,165.25,163.9234631845151,0,0
93.5,163.25,163.91078202509482,0,0
87.5,163.25,163.89810086567454,0,0
87.5,163.25,163.88541970625423,0,0
87.5,161.75,163.87273854683394,0,0
80.0,161.75,163.86005738741366,0,0
80.0,161.75,163.84737622799338,0,0
80.0,161.0,163.83469506857307,0,0
69.5,161.0,163.8220139091528,0,0
69.5,161.0,163.8093327497325,0,0
69.5,165.25,163.79665159031222,0,0
60.0,165.25,163.7839704308919,0,0
60.0,165.25,163.77128927147163,0,0
60.0,165.25,163.75860811205135,0,0
51.5,165.25,163.74592695263104,0,0
51.5,165.25,163.73324579321076,0,0
51.5,166.25,163.72056463379047,0,0
45.0,166.25,163.7078834743702,0,0
45.0,166.25,163.69520231494988,0,0
45.0,166.25,163.6825211555296,0,0
41.5,166.25,163.66983999610932,0,0
41.5,166.25,163.657158836689,0,0
41.5,164.25,163.64447767726872,0,0
45.0,164.25,163.63179651784844,0,0
45.0,164.25,163.61911535842816,0,0
45.0,164.25,163.60643419900785,0,0
38.5,164.25,163.59375303958757,0,0
38.5,164.25,163.5810718801673,0,0
38.5,165.25,163.568390720747,0,0
42.5,165.25,163.5557095613267,0,0
42.5,165.25,163.5430284019064,0,0
42.5,165.5,163.53034724248613,0,0
38.0,165.5,163.51766608306582,0,0
38.0,165.5,163.50498492364554,0,0
38.0,165.75,163.49230376422526,0,0
36.5,165.75,163.47962260480497,0,0
36.5,165.75,163.46694144538466,0,0
36.5,164.25,163.45426028596438,0,0
35.0,164.25,163.4415791265441,0,0
35.0,164.25,163.4288979671238,0,0
35.0,161.0,163.4162168077035,0,0
38.0,161.0,163.40353564828322,0,0
38.0,161.0,163.39085448886294,0,0
38.0,160.0,163.37817332944263,0,0
38.0,160.0,163.36549217002235,0,0
38.0,160.0,163.35281101060207,0,0
38.0,153.5,163.34012985118179,0,0
38.0,153.5,163.32744869176148,0,0
38.0,153.5,163.3147675323412,0,0
38.0,145.25,163.3020863729209,0,0
38.0,145.25,163.2894052135006,0,0
38.0,145.25,163.27672405408032,0,0
38.0,142.5,163.26404289466004,0,0
39.0,142.5,163.25136173523975,0,0
39.0,142.5,163.23868057581944,0,0
39.0,145.0,163.22599941639916,0,0
39.0,145.0,163.21331825697888,0,0
39.0,145.0,163.20063709755857,0,0
39.0,148.25,163.1879559381383,0,0
40.0,148.25,163.175274778718,0,0
40.0,148.25,163.16259361929772,0,0
40.0,148.75,163.1499124598774,0,0
32.0,148.75,163.13723130045713,0,0
32.0,148.75,163.12455014103685,0,0
32.0,150.75,163.11186898161657,0,0
35.0,150.75,163.09918782219626,0,0
35.0,150.75,163.08650666277597,0,0
35.0,151.25,163.0738255033557,0,0
35.5,151.25,163.06114434393538,0,0
35.5,151.25,163.0484631845151,0,0
35.5,151.25,163.03578202509482,0,0
32.0,151.25,163.02310086567454,0,0
32.0,151.25,163.01041970625423,0,0
32.0,152.5,162.99773854683394,0,0
31.0,152.5,162.98505738741366,0,0
31.0,152.5,162.97237622799335,0,0
31.0,154.0,162.95969506857307,0,0
33.0,154.0,162.9470139091528,0,0
33.0,154.0,162.9343327497325,0,0
33.0,154.25,162.9216515903122,0,0
30.0,154.25,162.9089704308919,0,0
30.0,154.25,162.89628927147163,0,0
30.0,154.5,162.88360811205135,0,0
29.5,154.5,162.87092695263104,0,0
29.5,154.5,162.85824579321076,0,0
29.5,154.75,162.84556463379047,0,0
26.5,154.75,162.83288347437016,0,0
26.5,154.75,162.82020231494988,0,0
26.5,155.5,162.8075211555296,0,0
29.5,155.5,162.79483999610932,0,0
29.5,155.5,162.782158836689,0,0
29.5,157.25,162.76947767726872,0,0
29.5,157.25,162.75679651784844,0,0
29.5,157.25,162.74411535842813,0,0
29.5,157.75,162.73143419900785,0,0
27.0,157.75,162.71875303958757,0,0
27.0,157.75,162.7060718801673,0,0
27.0,157.75,162.69339072074698,0,0
33.0,157.75,162.6807095613267,0,0
33.0,157.75,162.6680284019064,0,0
33.0,159.0,162.65534724248613,0,0
33.5,159.0,162.64266608306582,0,0
33.5,159.0,162.62998492364554,0,0
33.5,160.5,162.61730376422526,0,0
33.5,160.5,162.60462260480494,0,0
33.5,160.5,162.59194144538466,0,0
33.5,162.0,162.57926028596438,0,0
33.5,162.0,162.5665791265441,0,0
33.5,162.0,162.5538979671238,0,0
33.5,163.75,162.5412168077035,0,0
32.5,163.75,162.52853564828322,0,0
32.5,163.75,162.5158544888629,0,0
32.5,163.25,162.50317332944263,0,0
37.0,163.25,162.49049217002235,0,0
37.0,163.25,162.47781101060207,0,0
37.0,163.5,162.46512985118176,0,0
37.0,163.5,162.45244869176148,0,0
37.0,163.5,162.4397675323412,0,0
37.0,163.5,162.4270863729209,0,0
34.0,163.5,162.4144052135006,0,0
34.0,163.5,162.40172405408032,0,0
34.0,159.25,162.38904289466004,0,0
40.5,159.25,162.37636173523973,0,0
40.5,159.25,162.36368057581944,0,0
40.5,160.0,162.35099941639916,0,0
42.0,160.0,162.33831825697888,0,0
42.0,160.0,162.32563709755857,0,0
42.0,160.75,162.3129559381383,0,0
40.5,160.75,162.300274778718,0,0
40.5,160.75,162.2875936192977,0,0
40.5,162.0,162.2749124598774,0,0
41.5,162.0,162.26223130045713,0,0
41.5,162.0,162.24955014103685,0,0
41.5,162.0,162.23686898161654,0,0
44.0,162.0,162.22418782219626,0,0
44.0,162.0,162.21150666277597,0,0
44.0,163.75,162.1988255033557,0,0
44.0,163.75,162.18614434393538,0,0
44.0,163.75,162.1734631845151,0,0
44.0,159.75,162.16078202509482,0,0
44.0,159.75,162.1481008656745,0,0
44.0,159.75,162.13541970625423,0,0
44.0,158.0,162.12273854683394,0,0
48.5,158.0,162.11005738741366,0,0
48.5,158.0,162.09737622799335,0,0
48.5,158.0,162.08469506857307,0,0
42.5,158.0,162.0720139091528,0,0
42.5,158.0,162.05933274973248,0,0
42.5,159.25,162.0466515903122,0,0
47.5,159.25,162.0339704308919,0,0
47.5,159.25,162.02128927147163,0,0
47.5,157.5,162.00860811205132,0,0
47.5,157.5,161.99592695263104,0,0
47.5,157.5,161.98324579321076,0,0
47.5,158.0,161.97056463379047,0,0
50.0,158.0,161.95788347437016,0,0
50.0,158.0,161.94520231494988,0,0
50.0,158.25,161.9325211555296,0,0
51.0,158.25,161.9198399961093,0,0
51.0,158.25,161.907158836689,0,0
51.0,158.5,161.89447767726872,0,0
54.0,158.5,161.88179651784844,0,0
54.0,158.5,161.86911535842813,0,0
54.0,158.5,161.85643419900785,0,0
55.0,158.5,161.84375303958757,0,0
55.0,158.5,161.83107188016726,0,0
55.0,159.5,161.81839072074698,0,0
