toco,fhr,baseline,acc,dec
29.0,121.5,123.6766976979144,0,0
29.0,121.5,123.69551490221548,0,0
29.0,123.0,123.71433210651655,0,0
22.0,123.0,123.73314931081762,0,0
22.0,123.0,123.75196651511871,0,0
22.0,123.0,123.77078371941978,0,0
30.0,123.0,123.78960092372085,0,0
30.0,123.0,123.80841812802193,0,0
30.0,123.0,123.827235332323,0,0
19.5,123.0,123.84605253662409,0,0
19.5,123.0,123.86486974092516,0,0
19.5,121.75,123.88368694522623,0,0
17.5,121.75,123.9025041495273,0,0
17.5,121.75,123.92132135382839,0,0
17.5,123.0,123.94013855812946,0,0
20.0,123.0,123.95895576243053,0,0
20.0,123.0,123.9777729667316,0,0
20.0,123.75,123.99659017103268,0,0
18.5,123.75,124.01540737533377,0,0
18.5,123.75,124.03422457963484,0,0
18.5,124.5,124.05304178393591,0,0
24.5,124.5,124.07185898823698,0,0
24.5,124.5,124.09067619253806,0,0
24.5,125.25,124.10949339683914,0,0
25.0,125.25,124.12831060114021,0,0
25.0,125.25,124.14712780544129,0,0
25.0,126.0,124.16594500974236,0,0
28.5,126.0,124.18476221404343,0,0
28.5,126.0,124.20357941834452,0,0
28.5,126.0,124.22239662264559,0,0
16.5,126.0,124.24121382694666,0,0
16.5,126.0,124.26003103124773,0,0
16.5,126.0,124.27884823554882,0,0
20.0,126.0,124.2976654398499,0,0
20.0,126.0,124.31648264415097,0,0
20.0,124.25,124.33529984845204,0,0
26.0,124.25,124.35411705275311,0,0
26.0,124.25,124.3729342570542,0,0
26.0,123.75,124.39175146135527,0,0
18.5,123.75,124.41056866565634,0,0
18.5,123.75,124.42938586995741,0,0
18.5,123.5,124.44820307425849,0,0
13.5,123.5,124.46702027855957,0,0
13.5,123.5,124.48583748286065,0,0
13.5,122.75,124.50465468716172,0,0
10.0,122.75,124.52347189146279,0,0
10.0,122.75,124.54228909576386,0,0
10.0,122.5,124.56110630006495,0,0
8.0,122.5,124.57992350436602,0,0
8.0,122.5,124.5987407086671,0,0
8.0,125.5,124.61755791296817,0,0
6.0,125.5,124.63637511726924,0,0
6.0,125.5,124.65519232157033,0,0
6.0,126.0,124.6740095258714,0,0
5.0,126.0,124.69282673017247,0,0
5.0,126.0,124.71164393447354,0,0
5.0,126.0,124.73046113877461,0,0
0.0,126.0,124.7492783430757,0,0
0.0,126.0,124.76809554737677,0,0
0.0,126.0,124.78691275167785,0,0
6.0,126.0,124.80572995597892,0,0
6.0,126.0,124.82454716028,0,0
6.0,124.0,124.84336436458108,0,0
1.0,124.0,124.86218156888215,0,0
1.0,124.0,124.88099877318322,0,0
1.0,123.0,124.8998159774843,0,0
1.0,123.0,124.91863318178538,0,0
1.0,123.0,124.93745038608645,0,0
1.0,123.0,124.95626759038753,0,0
6.0,123.0,124.9750847946886,0,0
6.0,123.0,124.99390199898967,0,0
6.0,123.0,125.01271920329076,0,0
7.0,123.0,125.03153640759183,0,0
7.0,123.0,125.0503536118929,0,0
7.0,124.5,125.06917081619397,0,0
7.0,124.5,125.08798802049505,0,0
7.0,124.5,125.10680522479613,0,0
7.0,125.0,125.1256224290972,0,0
9.0,125.0,125.14443963339828,0,0
9.0,125.0,125.16325683769935,0,0
9.0,125.25,125.18207404200044,0,0
5.0,125.25,125.20089124630151,0,0
5.0,125.25,125.21970845060258,0,0
5.0,125.75,125.23852565490365,0,0
8.5,125.75,125.25734285920473,0,0
8.5,125.75,125.27616006350581,0,0
8.5,126.25,125.29497726780689,0,0
12.0,126.25,125.31379447210796,0,0
12.0,126.25,125.33261167640903,0,0
12.0,126.75,125.3514288807101,0,0
4.5,126.75,125.37024608501119,0,0
4.5,126.75,125.38906328931226,0,0
4.5,127.0,125.40788049361333,0,0
4.0,127.0,125.4266976979144,0,0
4.0,127.0,125.44551490221548,0,0
4.0,127.0,125.46433210651657,0,0
9.0,127.0,125.48314931081764,0,0
9.0,127.0,125.50196651511871,0,0
9.0,126.25,125.52078371941978,0,0
1.5,126.25,125.53960092372085,0,0
1.5,126.25,125.55841812802194,0,0
1.5,125.0,125.57723533232301,0,0
1.5,125.0,125.59605253662409,0,0
1.5,125.0,125.61486974092516,0,0
1.5,125.75,125.63368694522623,0,0
6.0,125.75,125.65250414952732,0,0
6.0,125.75,125.67132135382839,0,0
6.0,126.25,125.69013855812946,0,0
4.0,126.25,125.70895576243053,0,0
4.0,126.25,125.72777296673162,0,0
4.0,126.75,125.7465901710327,0,0
5.0,126.75,125.76540737533377,0,0
5.0,126.75,125.78422457963484,0,0
5.0,127.0,125.80304178393591,0,0
5.0,127.0,125.821858988237,0,0
5.0,127.0,125.84067619253807,0,0
5.0,125.75,125.85949339683914,0,0
5.5,125.75,125.87831060114021,0,0
5.5,125.75,125.89712780544129,0,0
5.5,126.25,125.91594500974237,0,0
5.5,126.25,125.93476221404345,0,0
5.5,126.25,125.95357941834452,0,0
5.5,127.0,125.97239662264559,0,0
5.5,127.0,125.99121382694666,0,0
5.5,127.0,126.01003103124775,0,0
5.5,127.5,126.02884823554882,0,0
5.5,127.5,126.0476654398499,0,0
5.5,127.5,126.06648264415097,0,0
5.5,121.75,126.08529984845205,0,0
6.0,121.75,126.10411705275312,0,0
6.0,121.75,126.1229342570542,0,0
6.0,121.25,126.14175146135527,0,0
3.5,121.25,126.16056866565634,0,0
3.5,121.25,126.17938586995743,0,0
3.5,120.25,126.1982030742585,0,0
5.0,120.25,126.21702027855957,0,0
5.0,120.25,126.23583748286065,0,0
5.0,119.5,126.25465468716172,0,0
8.0,119.5,126.2734718914628,0,0
8.0,119.5,126.29228909576388,0,0
8.0,119.0,126.31110630006495,0,0
8.0,119.0,126.32992350436602,0,0
8.0,119.0,126.3487407086671,0,0
8.0,122.0,126.36755791296818,0,0
5.5,122.0,126.38637511726925,0,0
5.5,122.0,126.40519232157033,0,0
5.5,118.0,126.4240095258714,0,0
6.0,118.0,126.44282673017247,0,0
6.0,118.0,126.46164393447356,0,0
6.0,121.5,126.48046113877463,0,0
7.0,121.5,126.4992783430757,0,0
7.0,121.5,126.51809554737677,0,0
7.0,117.25,126.53691275167785,0,0
8.5,117.25,126.55572995597893,0,0
8.5,117.25,126.57454716028,0,0
8.5,116.75,126.59336436458108,0,0
3.5,116.75,126.61218156888215,0,0
3.5,116.75,126.63099877318324,0,0
3.5,116.25,126.64981597748431,0,0
3.5,116.25,126.66863318178538,0,0
3.5,116.25,126.68745038608645,0,0
3.5,115.5,126.70626759038753,0,0
6.0,115.5,126.72508479468861,0,0
6.0,115.5,126.74390199898968,0,0
6.0,114.5,126.76271920329076,0,0
6.0,114.5,126.78153640759183,0,0
6.0,114.5,126.8003536118929,0,0
6.0,113.25,126.81917081619399,0,0
7.0,113.25,126.83798802049506,0,0
7.0,113.25,126.85680522479613,0,0
7.0,112.0,126.8756224290972,0,0
4.0,112.0,126.89443963339828,0,0
4.0,112.0,126.91325683769936,0,0
4.0,109.25,126.93207404200044,0,0
8.5,109.25,126.95089124630151,0,0
8.5,109.25,126.96970845060258,0,0
8.5,109.0,126.98852565490367,0,0
8.5,109.0,127.00734285920474,0,0
8.5,109.0,127.02616006350581,0,0
8.5,109.0,127.04497726780689,0,0
9.0,109.0,127.06379447210796,0,0
9.0,109.0,127.08261167640904,0,0
9.0,109.0,127.10142888071012,0,0
9.5,109.0,127.12024608501119,0,0
9.5,109.0,127.13906328931226,0,0
9.5,112.5,127.15788049361333,0,0
10.5,112.5,127.17669769791442,0,0
10.5,112.5,127.19551490221549,0,0
10.5,114.0,127.21433210651657,0,0
10.5,114.0,127.23314931081764,0,0
10.5,114.0,127.25196651511871,0,0
10.5,115.5,127.2707837194198,0,0
